id,hotelid,hotelname,address,city,country,zipcode,propertytype,starrating,latitude,longitude,Source,url,curr
46406,1771651,Mediteran Bungalow Galeb,Vukovarska 7,Omis,Croatia,21310,Holiday parks,4,43.44012441,16.68250496,2,https://www.booking.com/hotel/hr/bungalow-luxury-mobile-homes-omis.en-gb.html,EUR
46407,177167,Hotel Polonia,Plac Teatralny 5,Torun,Poland,,Hotels,3,53.0123291,18.60379982,5,https://www.agoda.com/en-gb/hotel-polonia/hotel/torun-pl.html,EUR
46408,1771675,Rifugio Sass Bece,"Belvedere del Pordoi,1",Canazei,Italy,38032,Hotels,3,46.4779196,11.81334972,2,http://www.booking.com/hotel/it/rifugio-sass-bece.en-gb.html,EUR
46409,177168,Madalena Hotel,Mykonos,Mykonos,Greece,84600,Hotels,3,37.45231628,25.32984924,5,https://www.agoda.com/en-gb/madalena-hotel/hotel/mykonos-gr.html,EUR
46410,1771718,Pension Morenfeld,Mair im Korn Strasse 2,Lagundo,Italy,39022,Hotels,3,46.68277953,11.13173599,2,http://www.booking.com/hotel/it/pension-morenfeld-lagundo.en-gb.html,EUR
46411,1771733,Boutique Hotel Three Lilies,Narodni 3,Frantiskovy Lazne,Czech Republic,,Hotels,4,50.11849563,12.34979035,2,http://www.booking.com/hotel/cz/three-lilies.en-gb.html,EUR
46412,177175,MPM Hotel Sport,"100, Pirin Str",Bansko,Bulgaria,2770,Hotels,4,41.82478853,23.47764373,2,http://www.booking.com/hotel/bg/sport.en-gb.html,BGN
46413,177176,Family Hotel Santo Bansko,6 St.Ivan Rilski Str,Bansko,Bulgaria,2770,Hotels,3,41.82960333,23.48144978,2,http://www.booking.com/hotel/bg/santo-bansko.en-gb.html,BGN
46414,177179,Villas Jagoda & Malina,Borovets,Borovets,Bulgaria,2010,Holiday parks,3,42.27528449,23.61851603,2,http://www.booking.com/hotel/bg/villa-settlements.en-gb.html,BGN
49405,1819215,Pansion Gaspar,Portorusa 13,Biograd na Moru,Croatia,23210,Bed and breakfasts,3,43.92547206,15.45833123,2,https://www.booking.com/hotel/hr/pansion-gaspar.en-gb.html,EUR
49406,181922,DORMERO Schlosshotel Reichenschwand,Schlossweg 8,Reichenschwand,Germany,91244,Hotels,4,49.51085818,11.37523234,2,http://www.booking.com/hotel/de/dormero-schlosshotel.en-gb.html,EUR
49407,181926,Hotel Restaurant Baryton,2 Rue Des Acacias,Saint-Marcel,France,27950,Hotels,3,49.1046421,1.46274537,2,http://www.booking.com/hotel/fr/restaurant-baryton.en-gb.html,EUR
49408,181927,Le Chateau de Mei Lese,"23, Val de Mer",La Croix-Valmer,France,83420,Hotels,3,43.19925711,6.56295173,2,http://www.booking.com/hotel/fr/chateau-de-mei-lese.en-gb.html,EUR
49409,18193,Lilla Radmannen,Radmansgatan 67 & 69,Stockholm,Sweden,11360,Hotels,3,59.33928313,18.05466771,2,http://www.booking.com/hotel/se/lilla-radmannen.en-gb.html,SEK
49410,1819306,Hotel Polo,Via Perossaro 1466,San Felice sul Panaro,Italy,41038,Hotels,2,44.83349541,11.12023072,2,http://www.booking.com/hotel/it/polo-san-felice-sul-panaro.en-gb.html,EUR
49411,181934,Logis L'Auberge de Larressingle,Coulomet,Larressingle,France,32100,Hotels,3,43.94429478,0.3128998,2,http://www.booking.com/hotel/fr/logis-l-auberge-de-larressingle.en-gb.html,EUR
49412,1819452,Areal Letnich sportu,Predni Vyton 94,Predni Vyton,Czech Republic,,Bed and breakfasts,3,48.63084013,14.17142129,2,http://www.booking.com/hotel/cz/areal-letnich-sportu.en-gb.html,EUR
49413,181951,Hotel Montchapet Dijon Centre,26 rue Jacques Cellerier,Dijon,France,21000,Hotels,2,47.32742402,5.03345892,2,http://www.booking.com/hotel/fr/montchapet.en-gb.html,EUR
49414,181952,Logis Hotel Du Delta,"25 Bis, Av. De La Cote Dargent",Biganos,France,33380,Hotels,2,44.63358541,-0.97769737,2,http://www.booking.com/hotel/fr/logis-du-delta.en-gb.html,EUR
49415,181953,Logis Doubs Rivage,"8, Rue De La Chapelle",Charette,France,71270,Hotels,2,46.91652452,5.19977599,2,http://www.booking.com/hotel/fr/logis-doubs-rivage.en-gb.html,EUR
49416,1819536,Der Florenberg - Gipfel fur Geniesser,Am Florenberg 2,Kunzell,Germany,36093,Hotels,3,50.52332047,9.72001746,2,http://www.booking.com/hotel/de/der-florenberg-gipfel-fur-geniesser.en-gb.html,EUR
49417,181954,Villa Arena Hotel,1 Place Camille Pelletan,Carry-le-Rouet,France,13620,Hotels,3,43.33262897,5.15190661,2,http://www.booking.com/hotel/fr/villa-arena.en-gb.html,EUR
49418,181955,Hotel Amiraute,17 Rue Marechal Foch,Cannes,France,6400,Hotels,3,43.55361796,7.01856047,2,http://www.booking.com/hotel/fr/amiraute-cannes.en-gb.html,EUR
