class,cap-shape,bruises,gill-spacing,gill-size,stalk-shape,veil-type,ring-type,population,habitat
p,x,t,c,n,e,p,p,s,u
e,x,t,c,b,e,p,p,n,g
e,b,t,c,b,e,p,p,n,m
p,x,t,c,n,e,p,p,s,u
e,x,f,w,b,t,p,e,a,g
e,x,t,c,b,e,p,p,n,g
e,b,t,c,b,e,p,p,n,m
e,b,t,c,b,e,p,p,s,m
p,x,t,c,n,e,p,p,v,g
e,b,t,c,b,e,p,p,s,m
e,x,t,c,b,e,p,p,n,g
e,x,t,c,b,e,p,p,s,m
e,b,t,c,b,e,p,p,s,g
p,x,t,c,n,e,p,p,v,u
e,x,f,w,b,t,p,e,a,g
e,s,f,c,n,e,p,p,y,u
e,f,f,w,b,t,p,e,a,g
p,x,t,c,n,e,p,p,s,g
p,x,t,c,n,e,p,p,s,u
p,x,t,c,n,e,p,p,s,u
e,b,t,c,b,e,p,p,s,m
p,x,t,c,n,e,p,p,v,g
e,b,t,c,b,e,p,p,s,m
e,b,t,c,b,e,p,p,n,m
e,b,t,c,b,e,p,p,s,m
p,f,t,c,n,e,p,p,v,g
e,x,t,c,b,e,p,p,n,m
e,x,t,c,b,e,p,p,n,m
e,f,f,c,n,e,p,p,y,u
e,x,t,w,n,t,p,p,v,d
e,b,t,c,b,e,p,p,n,m
p,x,t,c,n,e,p,p,s,u
e,x,t,c,b,e,p,p,n,m
e,x,t,c,b,e,p,p,y,p
e,b,t,c,b,e,p,p,s,m
e,x,t,w,n,t,p,p,v,d
e,s,f,c,n,e,p,p,v,u
p,x,t,c,n,e,p,p,s,u
e,x,t,w,n,t,p,p,v,d
e,b,t,c,b,e,p,p,s,m
e,b,t,c,b,e,p,p,s,g
e,x,t,c,b,e,p,p,y,p
e,x,f,c,n,e,p,p,y,u
p,x,t,c,n,e,p,p,v,g
e,x,t,c,b,e,p,p,n,m
e,x,t,c,b,e,p,p,n,g
e,x,t,c,b,e,p,p,s,m
e,x,t,c,b,e,p,p,n,m
e,x,t,c,b,e,p,p,s,p
e,f,t,c,b,e,p,p,s,p
e,x,t,c,b,e,p,p,s,g
e,x,t,c,b,e,p,p,s,g
e,b,t,c,b,e,p,p,n,m
p,x,t,c,n,e,p,p,v,u
p,x,t,c,n,e,p,p,v,u
e,b,t,c,b,e,p,p,s,m
e,f,f,w,b,t,p,e,a,g
e,b,t,c,b,e,p,p,n,g
e,x,t,c,b,e,p,p,n,g
e,x,t,c,b,e,p,p,y,p
e,s,f,c,n,e,p,p,v,u
e,b,t,c,b,e,p,p,s,m
e,b,t,c,b,e,p,p,s,m
e,b,t,c,b,e,p,p,n,m
e,b,t,c,b,e,p,p,s,g
e,f,f,w,b,t,p,e,a,g
e,x,t,c,b,e,p,p,s,g
e,f,t,c,b,e,p,p,s,g
e,x,t,c,b,e,p,p,n,g
e,x,f,c,n,e,p,p,v,u
e,f,t,w,n,t,p,p,v,d
e,b,t,c,b,e,p,p,s,m
e,f,t,w,n,t,p,p,v,d
e,x,t,c,b,e,p,p,s,p
e,b,t,c,b,e,p,p,s,g
e,f,t,w,n,t,p,p,v,d
e,x,t,w,n,t,p,p,v,d
e,f,t,c,b,e,p,p,y,p
p,x,t,c,n,e,p,p,v,u
e,f,t,c,b,e,p,p,y,g
e,x,f,w,b,t,p,e,s,g
p,x,t,c,n,e,p,p,s,g
e,f,f,c,n,e,p,p,y,u
e,x,f,w,b,t,p,e,s,g
e,x,t,c,b,e,p,p,s,g
e,x,f,w,b,t,p,e,s,g
e,b,t,c,b,e,p,p,s,g
e,x,t,c,b,e,p,p,s,g
e,f,t,c,b,e,p,p,y,g
e,s,f,c,n,e,p,p,v,u
